id,name,type,buyable,sellable,chainId,sellCommand,dexName,category,blockchain,uniqueName,description,comingSoon,sortOrder,approxPriceUsd,ikna,priceRuleId,approxPriceChf,cardBuyable,cardSellable,instantBuyable,instantSellable,financialType,decimals,paymentEnabled,amlRuleFrom,amlRuleTo,approxPriceEur,refundEnabled
337,dEURO,Token,TRUE,TRUE,0xba3f535bbcccca2a154b573ca6c5a49baae0a3ea,,dEURO,Public,Ethereum,Ethereum/dEURO,Decentralized EURO,FALSE,,1.17786809,FALSE,39,0.9287514723,FALSE,FALSE,FALSE,FALSE,EUR,18,TRUE,0,0,1,TRUE
336,SOL,Custody,FALSE,FALSE,,,SOL,Private,Binance,Binance/SOL,,FALSE,,122.1112222,FALSE,50,96.2849561,FALSE,FALSE,FALSE,FALSE,Other,,FALSE,0,0,103.67139,TRUE
335,DEPSPresale,Custom,FALSE,FALSE,,,DEPSPresale,Private,Ethereum,Ethereum/DEPSPresale,dEURO Protocol Share,FALSE,,0.360887087,FALSE,49,0.284560229,FALSE,FALSE,FALSE,FALSE,Other,,FALSE,0,0,0.3063900704,TRUE
334,dEUROPresale,Custom,FALSE,FALSE,,,dEUROPresale,Private,Ethereum,Ethereum/dEUROPresale,Decentralized EURO,FALSE,,1.17786809,FALSE,39,0.9287514723,FALSE,FALSE,FALSE,FALSE,EUR,,FALSE,0,0,1,TRUE
333,kBTC,Token,TRUE,TRUE,0x73e0c0d45e048d25fc26fa3159b0aa04bfa4db98,,kBTC,Public,Ethereum,Ethereum/kBTC,Kraken Wrapped Bitcoin,FALSE,,87278.97353,FALSE,11,68819.65463,FALSE,FALSE,FALSE,FALSE,BTC,8,FALSE,0,0,74099.1069,TRUE
332,aEthWBTC,Token,FALSE,FALSE,0x5Ee5bf7ae06D1Be5997A1A72006FE6C607eC6DE8,,aEthWBTC,Public,Ethereum,Ethereum/aEthWBTC,Aave Ethereum WBTC,FALSE,,87278.97353,FALSE,34,68819.65463,FALSE,FALSE,FALSE,FALSE,BTC,8,FALSE,0,0,74099.1069,TRUE
331,EDLC,Token,TRUE,TRUE,0xC47ef9B19c3e29317a50F5fBE594EbA361dadA4A,,EDLC,Private,Ethereum,Ethereum/EDLC,Edelcoin,FALSE,,1.200012015,FALSE,48,0.9462120038,FALSE,FALSE,FALSE,FALSE,Other,6,FALSE,0,0,1.018800004,TRUE
330,EURt,Custody,FALSE,FALSE,,,EURt,Private,Kraken,Kraken/EURt,,FALSE,,1.17786809,FALSE,39,0.9287514723,FALSE,FALSE,FALSE,FALSE,EUR,,FALSE,0,0,1,TRUE
329,EURt,Token,FALSE,FALSE,0xc581b735a1688071a1746c968e0798d642ede491,,EURt,Public,Ethereum,Ethereum/EURt,Euro Tether,FALSE,,1.17786809,FALSE,39,0.9287514723,FALSE,FALSE,FALSE,FALSE,EUR,6,FALSE,0,0,1,TRUE
324,POL,Custody,FALSE,FALSE,,,POL,Private,Kraken,Kraken/POL,,FALSE,,0.1033159412,FALSE,9,0.08146483746,FALSE,FALSE,FALSE,FALSE,Other,,FALSE,0,0,0.08771435619,TRUE
323,POL,Token,FALSE,FALSE,,,POL,Public,BinanceSmartChain,BinanceSmartChain/POL,Polygon,FALSE,699,0.1033159412,FALSE,9,0.08146483746,FALSE,FALSE,FALSE,FALSE,Other,,FALSE,0,0,0.08771435619,TRUE
322,POL,Token,TRUE,TRUE,0x455e53cbb86018ac2b8092fdcd39d8444affc3f6,,POL,Public,Ethereum,Ethereum/POL,Polygon,FALSE,99,0.1033159412,FALSE,9,0.08146483746,FALSE,FALSE,FALSE,FALSE,Other,18,FALSE,0,0,0.08771435619,TRUE
311,USD,Custody,FALSE,FALSE,,,USD,Private,Checkout,Checkout/USD,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,USD,,FALSE,0,0,,TRUE
310,EURS,Token,TRUE,TRUE,0xE111178A87A3BFf0c8d18DECBa5798827539Ae99,,EURS,Public,Polygon,Polygon/EURS,STASIS EURS,FALSE,499,1.17786809,FALSE,46,0.9287514723,FALSE,FALSE,FALSE,FALSE,EUR,2,FALSE,0,0,1,TRUE
309,EURS,Token,FALSE,FALSE,0xdB25f211AB05b1c97D595516F45794528a807ad8,,EURS,Public,Ethereum,Ethereum/EURS,STASIS EURS,FALSE,99,1.17786809,FALSE,46,0.9287514723,FALSE,FALSE,FALSE,FALSE,EUR,2,FALSE,0,0,1,TRUE
308,USDC,Token,TRUE,TRUE,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,,USDC,Public,Base,Base/USDC,USDC,FALSE,703,1,FALSE,5,0.7885021082,FALSE,FALSE,FALSE,FALSE,USD,6,TRUE,0,0,0.8489915028,TRUE
307,AED,Custom,FALSE,FALSE,,,AED,Private,Sumixx,Sumixx/AED,,FALSE,,0.2722931885,FALSE,45,0.2147037531,FALSE,FALSE,FALSE,FALSE,Other,,FALSE,0,0,0.2311746033,TRUE
306,USD,Custom,FALSE,FALSE,,,USD,Private,Sumixx,Sumixx/USD,,FALSE,,1,FALSE,38,0.7885021082,FALSE,FALSE,FALSE,FALSE,Other,,FALSE,0,0,0.8489915028,TRUE
305,CHF,Custom,FALSE,FALSE,,,CHF,Private,Sumixx,Sumixx/CHF,,FALSE,,1.268227427,FALSE,37,1,FALSE,FALSE,FALSE,FALSE,Other,,FALSE,0,0,1.076714309,TRUE
304,EUR,Custom,FALSE,FALSE,,,EUR,Private,Sumixx,Sumixx/EUR,,FALSE,,1.17786809,FALSE,39,0.9287514723,FALSE,FALSE,FALSE,FALSE,Other,,FALSE,0,0,1,TRUE
300,USD,Custody,FALSE,FALSE,,,USD,Private,MaerkiBaumann,MaerkiBaumann/USD,,FALSE,,1,FALSE,38,0.7885021082,FALSE,FALSE,FALSE,FALSE,USD,,FALSE,0,0,0.8489915028,TRUE
299,TRX,Custody,FALSE,FALSE,,,TRX,Private,Binance,Binance/TRX,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,Other,,FALSE,0,0,,TRUE
298,BTC,Custody,FALSE,FALSE,,,BTC,Private,Binance,Binance/BTC,,FALSE,,87278.97353,FALSE,11,68819.65463,FALSE,FALSE,FALSE,FALSE,BTC,,FALSE,0,0,74099.1069,TRUE
297,AAVE,Custody,FALSE,FALSE,,,AAVE,Private,Binance,Binance/AAVE,,FALSE,,154.4215455,FALSE,26,121.7617142,FALSE,FALSE,FALSE,FALSE,Other,,FALSE,0,0,131.10258,TRUE
296,LINK,Custody,FALSE,FALSE,,,LINK,Private,Binance,Binance/LINK,,FALSE,,12.19148202,FALSE,31,9.613009274,FALSE,FALSE,FALSE,FALSE,Other,,FALSE,0,0,10.35046464,TRUE
295,POL,Custody,FALSE,FALSE,,,POL,Private,Binance,Binance/POL,,FALSE,,0.1033159412,FALSE,9,0.08146483746,FALSE,FALSE,FALSE,FALSE,Other,,FALSE,0,0,0.08771435619,TRUE
294,APE,Custody,FALSE,FALSE,,,APE,Private,Binance,Binance/APE,,FALSE,,0.2032020337,FALSE,28,0.160225232,FALSE,FALSE,FALSE,FALSE,Other,,FALSE,0,0,0.1725168,TRUE
293,DAI,Custody,FALSE,FALSE,,,DAI,Private,Binance,Binance/DAI,,FALSE,,1,FALSE,4,0.7885021082,FALSE,FALSE,FALSE,FALSE,USD,,FALSE,0,0,0.8489915028,TRUE
292,BNB,Custody,FALSE,FALSE,,,BNB,Private,Binance,Binance/BNB,,FALSE,,833.1583387,FALSE,36,656.9471065,FALSE,FALSE,FALSE,FALSE,Other,,FALSE,0,0,707.34435,TRUE
291,USDC,Custody,FALSE,FALSE,,,USDC,Private,Binance,Binance/USDC,,FALSE,,1,FALSE,5,0.7885021082,FALSE,FALSE,FALSE,FALSE,USD,,FALSE,0,0,0.8489915028,TRUE
290,ETH,Custody,FALSE,FALSE,,,ETH,Private,Binance,Binance/ETH,,FALSE,,2922.079246,FALSE,6,2304.065646,FALSE,FALSE,FALSE,FALSE,Other,,FALSE,0,0,2480.82045,TRUE
289,QNT,Custody,FALSE,FALSE,,,QNT,Private,Binance,Binance/QNT,,FALSE,,72.64072703,FALSE,29,57.2773664,FALSE,FALSE,FALSE,FALSE,Other,,FALSE,0,0,61.67136,TRUE
288,SAND,Custody,FALSE,FALSE,,,SAND,Private,Binance,Binance/SAND,,FALSE,,0.111201113,FALSE,8,0.087682312,FALSE,FALSE,FALSE,FALSE,Other,,FALSE,0,0,0.0944088,TRUE
287,USDT,Custody,FALSE,FALSE,,,USDT,Private,Binance,Binance/USDT,,FALSE,,1,FALSE,40,0.78851,FALSE,FALSE,FALSE,FALSE,USD,,FALSE,0,0,0.849,TRUE
286,ARB,Custody,FALSE,FALSE,,,ARB,Private,Binance,Binance/ARB,,FALSE,,0.1913019146,FALSE,30,0.150841963,FALSE,FALSE,FALSE,FALSE,Other,,FALSE,0,0,0.1624137,TRUE
285,CRV,Custody,FALSE,FALSE,,,CRV,Private,Binance,Binance/CRV,,FALSE,,0.3869038723,FALSE,22,0.305074519,FALSE,FALSE,FALSE,FALSE,Other,,FALSE,0,0,0.3284781,TRUE
284,WBTC,Custody,FALSE,FALSE,,,WBTC,Private,Binance,Binance/WBTC,,FALSE,,87278.97353,FALSE,34,68819.65463,FALSE,FALSE,FALSE,FALSE,BTC,,FALSE,0,0,74099.1069,TRUE
283,LTC,Custody,FALSE,FALSE,,,LTC,Private,Kraken,Kraken/LTC,,FALSE,,76.71233778,FALSE,47,60.48784006,FALSE,FALSE,FALSE,FALSE,Other,,FALSE,0,0,65.12812293,TRUE
282,DAI,Custody,FALSE,FALSE,,,DAI,Private,Kraken,Kraken/DAI,,FALSE,,1,FALSE,4,0.7885021082,FALSE,FALSE,FALSE,FALSE,USD,,FALSE,0,0,0.8489915028,TRUE
281,WBTC,Custody,FALSE,FALSE,,,WBTC,Private,Kraken,Kraken/WBTC,,FALSE,,87278.97353,FALSE,34,68819.65463,FALSE,FALSE,FALSE,FALSE,BTC,,FALSE,0,0,74099.1069,TRUE
280,WETH,Custody,FALSE,FALSE,,,WETH,Private,Kraken,Kraken/WETH,,FALSE,,2922.079246,FALSE,6,2304.065646,FALSE,FALSE,FALSE,FALSE,Other,,FALSE,0,0,2480.82045,TRUE
279,BTC,Custody,FALSE,FALSE,,,BTC,Private,Kraken,Kraken/BTC,,FALSE,,87278.97353,FALSE,11,68819.65463,FALSE,FALSE,FALSE,FALSE,BTC,,FALSE,0,0,74099.1069,TRUE
278,XMR,Custody,FALSE,FALSE,,,XMR,Private,Kraken,Kraken/XMR,,FALSE,,440.0844046,FALSE,10,347.0074808,FALSE,FALSE,FALSE,FALSE,Other,,FALSE,0,0,373.62792,TRUE
277,USD,Custody,FALSE,FALSE,,,USD,Private,Kraken,Kraken/USD,,FALSE,,1,FALSE,38,0.7885021082,FALSE,FALSE,FALSE,FALSE,USD,,FALSE,0,0,0.8489915028,TRUE
